"Time","Light","Floor.friction","Object.friction","","","","","",""
8640,0.675834571,0.446366681,0.944148752,same trend,66,lighting ,none,none, 
8700,0.670807053,0.459747369,0.938205347,same trend,6,lighting ,none,none, 
8760,0.669460785,0.458208864,0.937315432,same trend,-54,lighting ,none,none, 
8820,0.668091833,0.448347853,0.948757397,same trend,-114,lighting ,none,none, 
8880,0.662877846,0.462116352,0.936743671,same trend,-174,lighting ,none,none, 
8940,0.660485852,0.434513697,0.955487141,same trend,-234,lighting ,none,none, 
9000,0.657876374,0.439313863,0.96076473,same trend,-294,lighting ,none,none, 
9060,0.654532,0.440735205,0.962959199,same trend,-354,lighting ,none,none, 
9120,0.654062384,0.458786422,0.96961395,same trend,-414,lighting ,none,none, 
9180,0.64894774,0.46142907,0.951824538,new trend,806,lighting ,none,none,b
9240,0.649439624,0.457668886,0.959199392,same trend,746,lighting ,none,none, 
9300,0.647457003,0.433859843,0.939168714,same trend,686,lighting ,none,none, 
9360,0.645867495,0.455802491,0.941636922,same trend,626,lighting ,none,none, 
9420,0.641105263,0.444271617,0.955108047,new trend,0,lighting ,none,none,v
9480,0.635800827,0.441180121,0.940011178,same trend,-60,lighting ,none,none, 
9540,0.63241987,0.439488696,0.95637821,same trend,-120,lighting ,none,none, 
9600,0.628326719,0.443416954,0.935766674,same trend,-180,lighting ,none,none, 
9660,0.628708513,0.446030759,0.949425066,same trend,-240,lighting ,none,none, 
9720,0.626682531,0.44120931,0.938305602,same trend,-300,lighting ,none,none, 
9780,0.624054186,0.449083947,0.948240807,same trend,-360,lighting ,none,none, 
9840,0.621989032,0.445229471,0.9510937,same trend,-420,lighting ,none,none, 
9900,0.621138549,0.455004633,0.946826942,same trend,-480,lighting ,none,none, 
9960,0.613257712,0.44290025,0.941714329,same trend,-540,lighting ,none,none, 
10020,0.612845978,0.442487791,0.944174321,same trend,-600,lighting ,none,none, 
10080,0.608120015,0.438976718,0.942400237,same trend,-660,lighting ,none,none, 
10140,0.604388655,0.461079377,0.945716473,same trend,-720,lighting ,none,none, 
10200,0.59819648,0.450613992,0.948016005,same trend,-780,lighting ,none,none, 
10260,0.596198981,0.453729677,0.949672676,same trend,-840,lighting ,none,none, 
10320,0.593967021,0.437489572,0.955566392,same trend,-900,lighting ,none,none, 
10380,0.59155346,0.438216479,0.935278674,same trend,-960,lighting ,none,none, 
10440,0.588803846,0.454689371,0.94243266,same trend,-1020,lighting ,none,none, 
10500,0.586661312,0.445510651,0.966032943,same trend,-1080,lighting ,none,none, 
10560,0.581117606,0.449275113,0.938238669,same trend,-1140,lighting ,none,none, 
10620,0.577590495,0.435379569,0.938245981,same trend,-1200,lighting ,none,none, 
10680,0.577254942,0.432582232,0.957362319,same trend,-1260,lighting ,none,none, 
10740,0.572792158,0.45077905,0.9474806,same trend,-1320,lighting ,none,none, 
10800,0.569567734,0.440070033,0.955305014,same trend,-1380,lighting ,none,none, 
10860,0.567064867,0.453680825,0.957201426,same trend,-1440,lighting ,none,none, 
10920,0.564343358,0.46648732,0.953347964,same trend,-1500,lighting ,none,none, 
10980,0.560482901,0.435613171,0.943983465,same trend,-1560,lighting ,none,none, 
11040,0.558734793,0.442356009,0.969436412,same trend,-1620,lighting ,none,none, 
11100,0.555769967,0.456412115,0.954144399,same trend,-1680,lighting ,none,none, 
11160,0.552109344,0.452448571,0.960510347,same trend,-1740,lighting ,none,none, 
11220,0.549293389,0.451848568,0.946685184,same trend,-1800,lighting ,none,none, 
11280,0.548517363,0.459676778,0.951764582,same trend,-1860,lighting ,none,none, 
11340,0.5437015,0.450895804,0.952099631,same trend,-1920,lighting ,none,none, 
11400,0.541572595,0.446075572,0.95127093,same trend,-1980,lighting ,none,none, 
11460,0.538580789,0.453016471,0.968480476,same trend,-2040,lighting ,none,none, 
11520,0.535903029,0.437093477,0.956876928,same trend,-2100,lighting ,none,none, 
11580,0.531105793,0.467794132,0.954815605,same trend,-2160,lighting ,none,none, 
11640,0.526738919,0.462915553,0.957093071,same trend,-2220,lighting ,none,none, 
11700,0.523754435,0.459898133,0.962833,same trend,-2280,lighting ,none,none, 
11760,0.52465082,0.44114644,0.954728938,same trend,-2340,lighting ,none,none, 
11820,0.520851384,0.453018478,0.938449498,same trend,-2400,lighting ,none,none, 
11880,0.519301082,0.451000833,0.951554355,same trend,-2460,lighting ,none,none, 
11940,0.513121279,0.44149252,0.945487927,same trend,-2520,lighting ,none,none, 
12000,0.508343996,0.442354468,0.941501225,same trend,-2580,lighting ,none,none, 
12060,0.507703498,0.455462913,0.94940724,same trend,-2640,lighting ,none,none, 
12120,0.502131708,0.434934833,0.937395754,same trend,-2700,lighting ,none,none, 
12180,0.499235551,0.443027029,0.977880735,new trend,0,lighting ,none,none,v
12240,0.495522753,0.4610642,0.94651085,same trend,-60,lighting ,none,none, 
12300,0.490877992,0.454890886,0.967909416,same trend,-120,lighting ,none,none, 
12360,0.48978945,0.445661093,0.96691856,new trend,0,lighting ,none,none,v
12420,0.485728538,0.438026381,0.943131218,same trend,-60,lighting ,none,none, 
12480,0.482458202,0.45010355,0.952186233,same trend,-120,lighting ,none,none, 
12540,0.480796366,0.464360312,0.954524244,same trend,-180,lighting ,none,none, 
12600,0.477045011,0.445204757,0.948260768,same trend,-240,lighting ,none,none, 
12660,0.473670804,0.444121052,0.938157917,same trend,-300,lighting ,none,none, 
12720,0.468372882,0.46019108,0.967629603,new trend,0,lighting ,none,none,v
12780,0.464673992,0.447799629,0.948433379,same trend,-60,lighting ,none,none, 
12840,0.461669706,0.466717063,0.958545054,same trend,-120,lighting ,none,none, 
12900,0.46145456,0.461441929,0.952235492,same trend,-180,lighting ,none,none, 
12960,0.460981137,0.444885455,0.951070408,same trend,-240,lighting ,none,none, 
13020,0.461776963,0.440090855,0.937975494,same trend,-300,lighting ,none,none, 
13080,0.459130399,0.456275816,0.963841052,same trend,-360,lighting ,none,none, 
13140,0.452922919,0.4503845,0.953969376,same trend,-420,lighting ,none,none, 
13200,0.446759918,0.462702308,0.963424547,same trend,-480,lighting ,none,none, 
13260,0.44178927,0.461920095,0.955400065,same trend,-540,lighting ,none,none, 
13320,0.439355879,0.425387141,0.969594064,same trend,-600,lighting ,none,none, 
13380,0.436511277,0.45460302,0.948851268,new trend,0,lighting ,none,none,v
13440,0.43767138,0.451343486,0.963098775,same trend,-60,lighting ,none,none, 
13500,0.431050385,0.455184181,0.945968978,same trend,-120,lighting ,none,none, 
13560,0.426219159,0.452630302,0.963325654,same trend,-180,lighting ,none,none, 
13620,0.424781234,0.458734133,0.948236264,same trend,-240,lighting ,none,none, 
13680,0.423697045,0.451350989,0.944628914,new trend,0,lighting ,none,none,v
13740,0.42227234,0.450136257,0.937408917,same trend,-60,lighting ,none,none, 
13800,0.417340016,0.471917259,0.934561323,same trend,-120,lighting ,none,none, 
13860,0.416914434,0.442965311,0.948699067,same trend,-180,lighting ,none,none, 
13920,0.413765006,0.470033329,0.966039079,same trend,-240,lighting ,none,none, 
13980,0.412265211,0.447125417,0.956805789,same trend,-300,lighting ,none,none, 
14040,0.408602684,0.459341215,0.947420829,same trend,-360,lighting ,none,none, 
14100,0.405652855,0.427329655,0.937900716,same trend,-420,lighting ,none,none, 
14160,0.404718882,0.434197399,0.930041438,same trend,-480,lighting ,none,none, 
14220,0.400158529,0.445750219,0.942356422,same trend,-540,lighting ,none,none, 
14280,0.396522129,0.459470587,0.955062719,same trend,-600,lighting ,none,none, 
14340,0.40742741,0.461577452,0.95905927,same trend,-660,lighting ,none,none, 
14400,0.410386796,0.468245786,0.956451481,same trend,-720,lighting ,none,none, 
14460,0.409470874,0.439650273,0.936118236,same trend,-780,lighting ,none,none, 
14520,0.402352692,0.446647929,0.958137757,new trend,0,lighting ,none,none,v
14580,0.40702078,0.461288264,0.942107278,same trend,-60,lighting ,none,none, 
14640,0.400354584,0.441001216,0.95522184,same trend,-120,lighting ,none,none, 
14700,0.40260741,0.472863116,0.937646122,new trend,6520,lighting ,none,none,b
14760,0.39306502,0.432421168,0.941931697,same trend,6460,lighting ,none,none, 
14820,0.419711799,0.444596275,0.942438257,new trend,0,lighting ,none,none,v
14880,0.412695113,0.43907953,0.953279722,same trend,-60,lighting ,none,none, 
14940,0.386097789,0.461045032,0.959155199,same trend,-120,lighting ,none,none, 
