M1,M2,M3,P1,T1,T1F,P2,P3,T2,TR,T2F,P4,T3,R1,R2,R3,r1,r2,r3,V
0.9,0.45,0.9,1.0,7.0,,1.0,0.0,28.200001,,,1.0,57.200001,0.8168049995563957,89.92389739109457,0.029388293052299938,0.0,0.0,0.0,0.0
0.5,0.5,1.0,0.6,12.333333,29.5,0.666667,0.0,25.666666,,,1.0,53.0,0.4671088119619565,48.00969094864132,-0.038765105440217405,1.0,0.0,0.0,1.0
0.9,0.45,0.7,1.0,6.2,,1.0,0.0,32.400002,,,1.0,56.200001,0.6048674274896217,89.91383958342502,0.24132586511907397,0.0,0.0,0.0,0.0
1.0,0.4,1.0,1.0,5.4,,0.833333,0.166667,36.400002,2.763174,57.0,1.0,54.799999,1.0590789967826089,102.62515134130437,-0.08789238808695657,0.0,1.0,0.0,1.0
1.0,0.5,1.0,1.0,7.0,,0.009901,0.990099,35.0,0.0,0.0,1.0,56.400002,1.0590789967826089,101.85002191956524,-0.08789238808695657,0.0,1.0,0.0,1.0
0.5,0.3,0.7,0.2,8.0,40.5,1.0,0.0,31.0,,,1.0,54.0,0.30618436485880435,47.44391177505435,0.12215934166293481,1.0,0.0,0.0,1.0
0.5,0.45,1.0,0.2,12.0,32.25,0.0,0.0,25.0,,,,,0.4671088119619565,47.857463137364135,-0.038765105440217405,1.0,0.0,0.0,1.0
1.0,0.5,0.7,1.0,5.2,,1.0,0.0,34.799999,,,1.0,58.0,0.6942138997617392,101.81151179608699,0.2769727089339131,0.0,1.0,0.0,1.0
0.7,0.45,0.9,0.0,,2099.600098,,,,,,,,0.5992818599923436,67.46759829691632,0.021561903920699958,1.0,0.0,0.0,1.0
0.5,0.35,0.7,0.2,13.0,34.0,1.0,0.0,21.0,,,1.0,57.0,0.30618436485880435,47.59613958633154,0.12215934166293481,1.0,0.0,0.0,1.0
0.6,0.5,0.9,1.0,8.4,,1.0,0.0,30.200001,,,1.0,59.799999,0.5024110186475479,57.39761411429566,0.018076532656799964,1.0,0.0,0.0,1.0
0.9,0.5,0.9,1.0,6.0,,0.8,0.0,31.799999,,,1.0,54.75,0.8168049995563957,89.68548425785,0.029388293052299938,0.0,0.0,0.0,0.0
0.9,0.45,0.6,1.0,6.4,,1.0,0.0,31.200001,,,1.0,57.599998,0.4988986414562348,89.90881067959022,0.3472946511524609,1.0,0.0,0.0,1.0
