light,floor,obj,v,minDist,closeConfig,close,safeclose,robustness
0.7,0.3,0.8,0,0.09999999999999998,"[[0.8, 0.3, 0.8], [0.6, 0.3, 0.7], [0.8, 0.3, 0.9], [0.7, 0.4, 0.7], [0.7, 0.3, 0.9], [0.6, 0.25, 0.8], [0.6, 0.35, 0.8], [0.6, 0.35, 0.9], [0.6, 0.25, 0.9], [0.7, 0.25, 0.9], [0.7, 0.35, 0.9], [0.6, 0.4, 0.8], [0.7, 0.35, 0.8], [0.7, 0.25, 0.8]]",14,7,0.5
0.9,0.3,0.7,23,0.09999999999999998,,,,InViolation
0.9,0.3,0.5,123,0.09999999999999998,,,,InViolation
1.0,0.3,0.8,0,0.09999999999999998,"[[1.0, 0.4, 0.7], [0.9, 0.4, 0.8], [0.9, 0.3, 0.7], [1.0, 0.35, 0.8], [1.0, 0.25, 0.8], [1.0, 0.25, 0.9], [1.0, 0.35, 0.9], [1.0, 0.3, 0.9]]",8,2,0.25
0.8,0.5,0.6,0,0.09999999999999998,"[[0.7, 0.5, 0.7], [0.7, 0.5, 0.6], [0.7, 0.5, 0.5], [0.7, 0.4, 0.6], [0.8, 0.5, 0.5], [0.9, 0.45, 0.5], [0.9, 0.45, 0.6], [0.9, 0.45, 0.7], [0.8, 0.5, 0.7], [0.8, 0.4, 0.6], [0.8, 0.4, 0.7], [0.8, 0.45, 0.5], [0.8, 0.45, 0.7], [0.8, 0.4, 0.5], [0.8, 0.45, 0.6]]",15,4,0.26666666666666666
1.0,0.35,0.8,12,0.09999999999999998,,,,InViolation
1.0,0.25,0.8,123,0.09999999999999998,,,,InViolation
1.0,0.4,1.0,0,0.09999999999999998,"[[0.9, 0.45, 1.0], [0.9, 0.3, 1.0], [1.0, 0.45, 0.9], [0.9, 0.4, 0.9], [0.9, 0.35, 1.0], [1.0, 0.35, 0.9], [1.0, 0.3, 0.9], [1.0, 0.5, 1.0]]",8,6,0.75
0.6,0.5,0.9,12,0.09999999999999998,,,,InViolation
0.9,0.45,0.6,0,0.09999999999999998,"[[1.0, 0.5, 0.5], [1.0, 0.5, 0.6], [1.0, 0.5, 0.7], [0.8, 0.35, 0.6], [1.0, 0.4, 0.6], [0.9, 0.35, 0.5], [1.0, 0.4, 0.7], [1.0, 0.4, 0.5], [0.9, 0.35, 0.6], [0.9, 0.35, 0.7], [0.8, 0.5, 0.5], [0.9, 0.45, 0.5], [0.8, 0.5, 0.6], [0.9, 0.45, 0.7], [0.8, 0.5, 0.7], [0.8, 0.4, 0.6], [0.8, 0.4, 0.7], [0.8, 0.45, 0.5], [0.8, 0.45, 0.7], [0.8, 0.4, 0.5], [0.8, 0.45, 0.6]]",21,8,0.38095238095238093
0.9,0.45,0.7,13,0.09999999999999998,,,,InViolation
1.0,0.25,0.9,12,0.09999999999999998,,,,InViolation
0.6,0.5,0.8,12,0.09999999999999998,,,,InViolation
1.0,0.35,0.9,13,0.09999999999999998,,,,InViolation
0.8,0.5,0.7,12,0.09999999999999998,,,,InViolation
1.0,0.3,0.9,0,0.09999999999999998,"[[0.9, 0.3, 1.0], [0.9, 0.4, 0.9], [0.9, 0.35, 1.0], [0.9, 0.25, 1.0], [1.0, 0.3, 0.8], [1.0, 0.35, 0.8], [1.0, 0.25, 0.8], [1.0, 0.4, 1.0], [1.0, 0.25, 0.9], [1.0, 0.35, 0.9]]",10,4,0.4
0.7,0.25,0.9,123,0.09999999999999998,,,,InViolation
0.7,0.35,0.9,12,0.09999999999999998,,,,InViolation
0.6,0.4,0.9,0,0.09999999999999998,"[[0.7, 0.45, 0.9], [0.7, 0.45, 0.8], [0.5, 0.35, 1.0], [0.5, 0.4, 0.8], [0.5, 0.4, 0.9], [0.6, 0.45, 0.8], [0.6, 0.45, 0.9], [0.5, 0.5, 0.9], [0.7, 0.3, 0.9], [0.6, 0.35, 0.8], [0.7, 0.4, 1.0], [0.6, 0.35, 0.9], [0.6, 0.5, 0.9], [0.6, 0.5, 0.8], [0.7, 0.35, 0.9], [0.6, 0.4, 0.8], [0.6, 0.3, 1.0], [0.7, 0.35, 0.8], [0.5, 0.45, 1.0]]",19,8,0.42105263157894735
1.0,0.5,1.0,0,0.09999999999999998,"[[0.9, 0.5, 0.9], [0.9, 0.45, 1.0], [1.0, 0.45, 0.9], [1.0, 0.4, 1.0]]",4,3,0.75
0.5,0.3,0.6,12,0.09999999999999998,,,,InViolation
0.8,0.4,0.6,123,0.09999999999999998,,,,InViolation
0.5,0.25,0.6,123,0.09999999999999998,,,,InViolation
0.5,0.35,0.6,0,0.09999999999999998,"[[0.5, 0.45, 0.6], [0.6, 0.3, 0.5], [0.5, 0.45, 0.7], [0.5, 0.45, 0.5], [0.6, 0.3, 0.7], [0.6, 0.3, 0.6], [0.5, 0.3, 0.6], [0.5, 0.25, 0.6], [0.5, 0.35, 0.7], [0.5, 0.25, 0.7], [0.5, 0.3, 0.7], [0.5, 0.3, 0.5], [0.5, 0.35, 0.5], [0.5, 0.25, 0.5], [0.6, 0.4, 0.6]]",15,2,0.13333333333333333
0.5,0.35,0.7,123,0.09999999999999998,,,,InViolation
0.5,0.25,0.7,12,0.09999999999999998,,,,InViolation
0.8,0.25,1.0,12,0.09999999999999998,,,,InViolation
0.8,0.35,1.0,0,0.09999999999999998,"[[0.8, 0.45, 1.0], [0.8, 0.4, 1.0], [0.8, 0.3, 0.9], [0.9, 0.45, 1.0], [0.9, 0.3, 1.0], [0.9, 0.4, 0.9], [0.9, 0.35, 1.0], [0.9, 0.25, 1.0], [0.7, 0.4, 1.0], [0.7, 0.35, 0.9], [0.8, 0.25, 1.0]]",11,6,0.5454545454545454
0.8,0.4,0.7,0,0.09999999999999998,"[[0.7, 0.5, 0.7], [0.8, 0.35, 0.7], [0.8, 0.3, 0.8], [0.8, 0.35, 0.6], [0.7, 0.4, 0.7], [0.9, 0.4, 0.8], [0.9, 0.35, 0.6], [0.9, 0.35, 0.7], [0.7, 0.4, 0.6], [0.9, 0.3, 0.7], [0.8, 0.5, 0.6], [0.9, 0.45, 0.6], [0.9, 0.45, 0.7], [0.8, 0.5, 0.7], [0.8, 0.4, 0.6], [0.8, 0.45, 0.7], [0.8, 0.45, 0.6]]",17,8,0.47058823529411764
0.5,0.3,0.7,1,0.09999999999999998,,,,InViolation
0.6,0.4,0.8,12,0.09999999999999998,,,,InViolation
0.8,0.45,0.5,13,0.09999999999999998,,,,InViolation
0.6,0.3,1.0,0,0.09999999999999998,"[[0.5, 0.35, 1.0], [0.5, 0.25, 1.0], [0.5, 0.3, 1.0], [0.7, 0.3, 0.9], [0.7, 0.4, 1.0], [0.6, 0.35, 0.9], [0.6, 0.25, 0.9], [0.7, 0.25, 0.9], [0.7, 0.35, 0.9], [0.6, 0.4, 0.9]]",10,3,0.3
0.7,0.35,0.8,0,0.09999999999999998,"[[0.7, 0.45, 0.9], [0.7, 0.45, 0.8], [0.8, 0.35, 0.7], [0.8, 0.3, 0.8], [0.6, 0.45, 0.8], [0.7, 0.4, 0.7], [0.7, 0.3, 0.9], [0.6, 0.25, 0.8], [0.6, 0.35, 0.8], [0.6, 0.35, 0.9], [0.7, 0.3, 0.8], [0.7, 0.25, 0.9], [0.7, 0.35, 0.9], [0.6, 0.4, 0.9], [0.6, 0.4, 0.8], [0.7, 0.25, 0.8]]",16,9,0.5625
0.7,0.25,0.8,23,0.09999999999999998,,,,InViolation
0.5,0.45,1.0,123,0.09999999999999998,,,,InViolation
0.8,0.45,0.7,13,0.09999999999999998,,,,InViolation
0.5,0.3,0.5,123,0.09999999999999998,,,,InViolation
0.8,0.4,0.5,13,0.09999999999999998,,,,InViolation
0.5,0.35,0.5,123,0.09999999999999998,,,,InViolation
0.5,0.25,0.5,123,0.09999999999999998,,,,InViolation
0.7,0.5,1.0,12,0.09999999999999998,,,,InViolation
0.8,0.45,0.6,0,0.09999999999999998,"[[0.7, 0.5, 0.6], [0.8, 0.35, 0.5], [0.8, 0.35, 0.7], [0.8, 0.35, 0.6], [0.9, 0.35, 0.6], [0.7, 0.4, 0.6], [0.8, 0.5, 0.5], [0.9, 0.45, 0.5], [0.8, 0.5, 0.6], [0.9, 0.45, 0.6], [0.9, 0.45, 0.7], [0.8, 0.5, 0.7], [0.8, 0.4, 0.6], [0.8, 0.4, 0.7], [0.8, 0.45, 0.5], [0.8, 0.45, 0.7], [0.8, 0.4, 0.5], [0.7, 0.35, 0.6]]",18,4,0.2222222222222222
0.7,0.25,0.6,1,0.09999999999999998,,,,InViolation
0.7,0.35,0.6,123,0.09999999999999998,,,,InViolation
0.6,0.4,0.6,0,0.09999999999999998,"[[0.5, 0.45, 0.6], [0.6, 0.3, 0.5], [0.5, 0.45, 0.7], [0.7, 0.5, 0.6], [0.5, 0.45, 0.5], [0.6, 0.3, 0.7], [0.6, 0.3, 0.6], [0.7, 0.4, 0.5], [0.7, 0.4, 0.7], [0.7, 0.4, 0.6], [0.5, 0.3, 0.6], [0.5, 0.35, 0.6], [0.5, 0.35, 0.7], [0.5, 0.35, 0.5], [0.7, 0.35, 0.6]]",15,3,0.2
