"time","m1","m2","m3","trend","time2problem","light","floor","gripper","edgeORboundary"
12720,0.949972777,0.433483838,0.404396807,same trend,-60,none,none,gripper , 
12780,0.945245265,0.462029231,0.406871404,same trend,-120,none,none,gripper , 
12840,0.957899651,0.467231841,0.399941777,same trend,-180,none,none,gripper , 
12900,0.932509588,0.456006746,0.398503235,same trend,-240,none,none,gripper , 
12960,0.941767577,0.455409852,0.401797672,same trend,-300,none,none,gripper , 
13020,0.9488997,0.442715904,0.405306036,same trend,-360,none,none,gripper , 
13080,0.941074643,0.456257715,0.407659479,same trend,-420,none,none,gripper , 
13140,0.936558409,0.433583299,0.395688843,same trend,-480,none,none,gripper , 
13200,0.930535608,0.445024571,0.404160437,same trend,-540,none,none,gripper , 
13260,0.945846272,0.449627997,0.398250153,new trend,0,none,none,gripper ,e
13320,0.962764806,0.454014353,0.404907344,same trend,-60,none,none,gripper , 
13380,0.954537901,0.464120493,0.405855489,same trend,-120,none,none,gripper , 
13440,0.950353114,0.43255967,0.406047075,same trend,-180,none,none,gripper , 
13500,0.960636863,0.459744382,0.390040808,same trend,-240,none,none,gripper , 
13560,0.962090702,0.443521367,0.400587749,same trend,-300,none,none,gripper , 
13620,0.9395322,0.438030391,0.384309087,same trend,-360,none,none,gripper , 
13680,0.946673028,0.451456032,0.398335641,same trend,-420,none,none,gripper , 
13740,0.947571779,0.430938,0.379876856,same trend,-480,none,none,gripper , 
13800,0.977123289,0.457435413,0.396842157,same trend,-540,none,none,gripper , 
13860,0.962644906,0.461049077,0.405238234,same trend,-600,none,none,gripper , 
13920,0.942393592,0.459007376,0.408512364,same trend,-660,none,none,gripper , 
13980,0.951262238,0.446175761,0.401714831,same trend,-720,none,none,gripper , 
14040,0.949137125,0.464250268,0.386331199,same trend,-780,none,none,gripper , 
14100,0.957828804,0.447805024,0.405305662,same trend,-840,none,none,gripper , 
14160,0.960711981,0.451439607,0.395104521,same trend,-900,none,none,gripper , 
14220,0.953357464,0.448060085,0.392871261,same trend,-960,none,none,gripper , 
14280,0.935354965,0.434311025,0.408770438,same trend,-1020,none,none,gripper , 
14340,0.961005765,0.458098721,0.391535324,same trend,-1080,none,none,gripper , 
14400,0.944235607,0.463091539,0.395717916,same trend,-1140,none,none,gripper , 
14460,0.954540113,0.453423793,0.410646116,same trend,-1200,none,none,gripper , 
14520,0.95688137,0.453219344,0.400509409,same trend,-1260,none,none,gripper , 
14580,0.950531873,0.42029952,0.412448351,same trend,-1320,none,none,gripper , 
14640,0.933456472,0.444610099,0.397609118,same trend,-1380,none,none,gripper , 
14700,0.969588166,0.442355606,0.408081847,same trend,-1440,none,none,gripper , 
14760,0.948201398,0.456074717,0.398333652,same trend,-1500,none,none,gripper , 
14820,0.954564005,0.452634354,0.402644655,same trend,-1560,none,none,gripper , 
14880,0.943485806,0.438398572,0.397612507,same trend,-1620,none,none,gripper , 
14940,0.963623596,0.449445058,0.401826269,same trend,-1680,none,none,gripper , 
