M1,M2,M3,p1,T1,T1F,p2,p3,T2,TR,T2F,p4,T3,Pretry,violation
0.50,0.25,0.70,0.20,12.00,66.50,1.00,0.00,23.00,NoData,NoData,1.00,57.00,
0.60,0.30,0.90,1.00,5.50,NoData,1.00,0.00,35.00,NoData,NoData,1.00,56.00,
0.80,0.25,0.80,1.00,7.20,NoData,0.80,0.00,27.00,NoData,NoData,1.00,62.00,
0.90,0.30,0.80,1.00,6.40,NoData,0.67,0.17,30.60,25.00,59.00,1.00,61.75,
0.50,0.30,0.90,0.20,8.00,49.00,1.00,0.00,29.00,NoData,NoData,1.00,60.00,
0.80,0.30,0.60,1.00,6.80,NoData,0.67,0.17,31.40,11.00,56.00,1.00,54.75,
1.00,0.25,0.90,1.00,5.20,NoData,0.67,0.17,34.60,17.00,57.00,1.00,65.75,
0.90,0.40,0.50,1.00,4.40,NoData,0.67,0.17,38.40,43.00,63.00,0.00,70.75,
0.90,0.45,0.90,1.00,7.00,NoData,1.00,0.00,28.20,NoData,NoData,1.00,57.20,
0.90,0.25,1.00,1.00,6.60,NoData,1.00,0.00,30.20,NoData,NoData,1.00,78.00,
0.50,0.50,1.00,0.60,12.33,29.50,0.67,0.00,25.67,NoData,NoData,1.00,53.00,
0.50,0.50,0.90,0.40,12.00,32.33,0.00,0.00,26.00,NoData,NoData,NoData,NoData,
0.60,0.45,0.60,1.00,6.60,NoData,0.80,0.00,32.00,NoData,NoData,1.00,57.50,
0.50,0.45,0.60,0.00,NoData,34.00,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.70,0.30,0.80,1.00,8.80,NoData,0.57,0.29,29.20,14.50,59.50,1.00,64.00,
1.00,0.45,1.00,1.00,6.40,NoData,0.33,0.17,33.40,34.00,57.00,1.00,62.00,
1.00,0.25,0.80,1.00,7.60,NoData,0.83,0.17,32.80,26.00,61.00,1.00,60.20,
0.50,0.30,0.80,0.80,12.75,31.00,0.50,0.00,21.50,NoData,NoData,1.00,53.00,
0.60,0.40,1.00,1.00,6.40,NoData,0.60,0.00,27.00,NoData,NoData,1.00,73.00,
0.80,0.50,0.50,1.00,6.20,NoData,1.00,0.00,35.60,NoData,NoData,0.00,57.00,
0.50,0.40,0.90,0.20,12.00,32.25,1.00,0.00,22.00,NoData,NoData,1.00,53.00,
1.00,0.45,0.60,1.00,5.80,NoData,0.80,0.00,36.00,NoData,NoData,0.75,59.25,
0.60,0.25,1.00,1.00,8.00,NoData,0.50,0.33,28.25,12.00,57.00,0.67,68.00,
1.00,0.50,1.00,1.00,7.00,NoData,0.01,0.99,35.00,0.00,0.00,1.00,56.40,
0.60,0.50,0.60,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
0.80,0.50,0.90,1.00,5.80,NoData,0.80,0.00,37.60,NoData,NoData,0.75,54.50,
0.70,0.45,0.70,0.20,11.00,495.50,0.00,1.00,NoData,NoData,60.00,NoData,NoData,
0.90,0.50,0.70,1.00,7.40,NoData,0.80,0.00,31.40,NoData,NoData,1.00,53.50,
0.60,0.45,0.50,1.00,6.40,NoData,0.80,0.00,37.80,NoData,NoData,0.00,56.25,
0.70,0.40,0.80,0.00,NoData,62.20,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
