M1,M2,M3,P1,T1,T1F,P2,P3,T2,TR,T2F,P4,T3
1,0.25,0.9,1,5.2,NA,0.666667,0.166667,34.599998,2.228461,57,1,65.75
0.7,0.45,1,0,NA,72.599998,NA,NA,NA,NA,NA,NA,NA
0.8,0.45,1,1,6.8,NA,0.8,0,31.200001,NA,NA,0.75,57.75
0.8,0.45,0.5,1,7.4,NA,1,0,32,NA,NA,0,55.200001
0.9,0.35,0.8,1,6.2,NA,1,0,31.6,NA,NA,1,64
0.8,0.35,0.6,1,6.4,NA,0.8,0,32.799999,NA,NA,0.5,54.5
0.5,0.45,0.6,0,NA,34,NA,NA,NA,NA,NA,NA,NA
0.7,0.35,1,1,7.6,NA,0.8,0,28.200001,NA,NA,1,59
0.8,0.35,0.9,1,9.2,NA,0.6,0.2,31,NA,56,1,58
0.6,0.4,0.5,1,8,NA,0.8,0,32,NA,NA,0,64.5
0.6,0.25,0.7,1,8.4,NA,0.666667,0.166667,29.6,1.25186,58,1,56
0.8,0.4,0.8,1,8.4,NA,1,0,25.200001,NA,NA,1,56.599998
0.9,0.25,0.7,1,6.4,NA,0.8,0,30,NA,NA,1,67.25
1,0.45,0.5,1,6.25,NA,1,0,36,NA,NA,0,59.75
1,0.3,0.7,1,6.2,NA,1,0,31.799999,NA,NA,0.8,58
1,0.3,0.9,1,6.4,NA,0.5,0.375,37.799999,1.844246,57,1,71.5
0.8,0.35,0.5,1,7.8,NA,0.666667,0.166667,30.799999,1.840082,57,0,72.25
0.8,0.25,1,1,7.2,NA,1,0,27.4,NA,NA,1,56.200001
0.8,0.5,1,1,9,NA,0.8,0.2,28.25,NA,62,1,63
1,0.4,0.7,1,6.2,NA,1,0,40,NA,NA,1,54.599998
0.7,0.4,0.5,0.75,3,106,1,0,64.666664,NA,NA,0,56.333332
0.9,0.3,0.7,1,5.4,NA,0.714286,0.285714,38.200001,1.919863,57.5,1,62.200001
0.8,0.3,0.9,1,7.4,NA,0.833333,0.166667,32.799999,1.921552,57,0.8,61.200001
1,0.3,0.8,1,5.6,NA,0.8,0,36.599998,NA,NA,1,59.5
0.7,0.5,0.8,0,NA,302.200012,NA,NA,NA,NA,NA,NA,NA
0.9,0.5,0.6,1,4.8,NA,0.8,0,31.799999,NA,NA,1,54.75
0.9,0.4,0.8,1,5.6,NA,1,0,34.200001,NA,NA,1,60.400002
0.6,0.25,0.5,1,6.2,NA,1,0,36.599998,NA,NA,0,55.599998
1,0.25,0.8,1,7.6,NA,0.833333,0.166667,32.799999,1.760087,61,1,60.200001
0.5,0.45,0.9,0.2,13,32.5,0,0,36,NA,NA,NA,NA
0.9,0.4,1,1,5,NA,0.8,0,37.200001,NA,NA,1,54
0.9,0.3,0.5,1,6.4,NA,0.6,0,31.6,NA,NA,0,74.666664
0.9,0.5,0.5,1,4.2,NA,0.6,0,39.599998,NA,NA,0,55
0.6,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6,0.5,0.5,1,6.4,NA,1,0,36.200001,NA,NA,0,58.200001
0.6,0.25,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.45,0.9,1,5.2,NA,0.8,0,39.599998,NA,NA,1,55.75
0.6,0.45,0.8,1,6,NA,0.8,0,35.200001,NA,NA,1,52.5
0.7,0.3,1,1,7,NA,1,0,34,NA,NA,1,58.799999
0.7,0.25,0.7,1,8.2,NA,0.8,0,30.4,NA,NA,1,59.75
0.6,0.5,0.8,1,7.6,NA,1,0,33.200001,NA,NA,0.8,54.200001
1,0.35,0.8,1,6.8,NA,0.833333,0.166667,39.200001,2.221882,56,0.8,176.199997
0.6,0.4,0.8,1,10.2,NA,0.833333,0.166667,28.6,1.33574,62,0.8,53
0.8,0.35,0.7,1,7.2,NA,0.5,0.166667,29.6,1.689974,62,1,57.666668
0.7,0.5,0.5,0.2,3,1855.25,0,1,NA,NA,57,NA,NA
0.5,0.4,0.7,0.4,12,33,0.5,0,19,NA,NA,1,113
0.7,0.35,0.6,1,7,NA,0.666667,0.166667,33.799999,1.52208,59,0.75,55.25
0.7,0.4,0.8,0,NA,62.200001,NA,NA,NA,NA,NA,NA,NA
0.9,0.4,0.5,1,4.4,NA,0.666667,0.166667,38.400002,2.261732,63,0,70.75
