file:csv_files/outcome_1.0_0.35_0.8.csv,,p1:1.00,,T1:143.70,,T1F:NoData,,p2:0.58,,p3:0.25,,T2:25.78,,TR:53.00,,T2F:59.67,,p4:1.00,,T3:50.57,,
file:csv_files/outcome_1.0_0.25_0.8.csv,,p1:0.90,,T1:192.00,,T1F:360.00,,p2:0.89,,p3:0.00,,T2:30.56,,TR:NoData,,T2F:NoData,,p4:0.88,,T3:57.43,,
file:csv_files/outcome_1.0_0.4_1.0.csv,,p1:1.00,,T1:113.70,,T1F:NoData,,p2:0.70,,p3:0.00,,T2:21.10,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:50.43,,
file:csv_files/outcome_0.6_0.5_0.9.csv,,p1:0.90,,T1:203.00,,T1F:360.00,,p2:0.06,,p3:0.59,,T2:5.29,,TR:140.62,,T2F:60.50,,p4:1.00,,T3:62.00,,
file:csv_files/outcome_0.9_0.45_0.6.csv,,p1:1.00,,T1:106.80,,T1F:NoData,,p2:0.90,,p3:0.00,,T2:30.40,,TR:NoData,,T2F:NoData,,p4:0.89,,T3:52.75,,
file:csv_files/outcome_0.9_0.45_0.7.csv,,p1:1.00,,T1:77.10,,T1F:NoData,,p2:0.67,,p3:0.33,,T2:30.00,,TR:70.00,,T2F:63.25,,p4:0.75,,T3:51.33,,
file:csv_files/outcome_1.0_0.25_0.9.csv,,p1:1.00,,T1:133.20,,T1F:NoData,,p2:0.60,,p3:0.20,,T2:27.00,,TR:NoData,,T2F:58.50,,p4:1.00,,T3:54.17,,
file:csv_files/outcome_0.6_0.5_0.8.csv,,p1:1.00,,T1:133.20,,T1F:NoData,,p2:0.45,,p3:0.27,,T2:18.38,,TR:20.00,,T2F:58.00,,p4:1.00,,T3:46.60,,
file:csv_files/outcome_1.0_0.35_0.9.csv,,p1:1.00,,T1:122.40,,T1F:NoData,,p2:0.70,,p3:0.10,,T2:23.56,,TR:NoData,,T2F:62.00,,p4:0.86,,T3:52.00,,
file:csv_files/outcome_0.8_0.5_0.7.csv,,p1:1.00,,T1:153.80,,T1F:NoData,,p2:0.70,,p3:0.20,,T2:27.50,,TR:NoData,,T2F:55.50,,p4:1.00,,T3:50.71,,
file:csv_files/outcome_1.0_0.3_0.9.csv,,p1:1.00,,T1:195.50,,T1F:NoData,,p2:0.50,,p3:0.00,,T2:13.80,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:56.80,,
file:csv_files/outcome_0.7_0.25_0.9.csv,,p1:0.80,,T1:155.25,,T1F:360.00,,p2:0.50,,p3:0.12,,T2:17.57,,TR:NoData,,T2F:58.00,,p4:0.75,,T3:76.67,,
file:csv_files/outcome_0.7_0.35_0.9.csv,,p1:1.00,,T1:102.10,,T1F:NoData,,p2:0.36,,p3:0.36,,T2:17.67,,TR:83.00,,T2F:61.40,,p4:1.00,,T3:64.60,,
